annotator_type,rater_1,rater_2,metric,n_pairs,kendall_tau,kendall_p,kendall_sig_p05,spearman_rho,spearman_p,spearman_sig_p05
burger,1,2,duidelijkheid,60,0.1053,0.3122,False,0.1318,0.3153,False
burger,1,2,leesbaarheid,60,0.1293,0.2233,False,0.1543,0.239,False
burger,1,3,duidelijkheid,60,0.1289,0.2298,False,0.1555,0.2353,False
burger,1,3,leesbaarheid,60,0.3718,0.0006,True,0.4536,0.0003,True
burger,1,4,duidelijkheid,20,-0.2605,0.1988,False,-0.3058,0.1898,False
burger,1,4,leesbaarheid,20,0.0134,0.944,False,0.0303,0.8992,False
burger,1,5,duidelijkheid,20,-0.043,0.8258,False,-0.0506,0.8323,False
burger,1,5,leesbaarheid,20,-0.0265,0.8892,False,-0.0148,0.9505,False
burger,2,3,duidelijkheid,60,-0.0155,0.8851,False,-0.0124,0.925,False
burger,2,3,leesbaarheid,60,0.1561,0.153,False,0.1842,0.159,False
burger,2,4,duidelijkheid,20,0.1997,0.3205,False,0.2219,0.347,False
burger,2,4,leesbaarheid,20,0.4583,0.0183,True,0.5249,0.0175,True
burger,2,5,duidelijkheid,20,-0.0279,0.8856,False,-0.0248,0.9173,False
burger,2,5,leesbaarheid,20,0.1233,0.5229,False,0.1383,0.5609,False
burger,3,4,duidelijkheid,20,-0.5163,0.0154,True,-0.5527,0.0115,True
burger,3,4,leesbaarheid,20,0.2192,0.2739,False,0.2488,0.2902,False
burger,3,5,duidelijkheid,20,-0.1407,0.4934,False,-0.1572,0.5079,False
burger,3,5,leesbaarheid,20,0.1802,0.3654,False,0.2046,0.387,False
burger,4,5,duidelijkheid,20,0.3858,0.0612,False,0.4476,0.0478,True
burger,4,5,leesbaarheid,20,0.2069,0.2874,False,0.2457,0.2964,False
jurist,1,2,juridische_correctheid,59,0.2933,0.0065,True,0.3531,0.0061,True
