annotator_type,auto_metric,human_metric,n,pearson_r,pearson_p,pearson_sig,spearman_rho,spearman_p,spearman_sig,kendall_tau,kendall_p,kendall_sig
burger,char_count,duidelijkheid_mean,60,0.1064,0.4182,False,0.0953,0.4689,False,0.0488,0.591,False
burger,char_count,actionability_mean,60,-0.0317,0.81,False,-0.0496,0.7069,False,-0.0379,0.6809,False
burger,char_count,leesbaarheid_mean,60,0.1369,0.2969,False,0.0575,0.6627,False,0.0505,0.5778,False
burger,word_count,duidelijkheid_mean,60,0.0894,0.4968,False,0.0954,0.4685,False,0.0536,0.556,False
burger,word_count,actionability_mean,60,-0.0319,0.8088,False,-0.0272,0.8366,False,-0.0237,0.7971,False
burger,word_count,leesbaarheid_mean,60,0.1294,0.3243,False,0.0627,0.634,False,0.0506,0.5777,False
burger,sentence_count,duidelijkheid_mean,60,0.1377,0.294,False,0.1,0.4472,False,0.0704,0.4456,False
burger,sentence_count,actionability_mean,60,-0.069,0.6004,False,-0.0895,0.4963,False,-0.061,0.5156,False
burger,sentence_count,leesbaarheid_mean,60,0.2183,0.0938,False,0.1753,0.1804,False,0.1378,0.1353,False
burger,avg_sentence_len,duidelijkheid_mean,60,0.02,0.8794,False,-0.0264,0.8412,False,-0.0256,0.7783,False
burger,avg_sentence_len,actionability_mean,60,0.1075,0.4136,False,0.0989,0.4522,False,0.0664,0.4717,False
burger,avg_sentence_len,leesbaarheid_mean,60,-0.265,0.0407,True,-0.2606,0.0443,True,-0.183,0.0438,True
burger,jargon_count,duidelijkheid_mean,60,-0.0089,0.9462,False,-0.1157,0.3787,False,-0.0915,0.3766,False
burger,jargon_count,actionability_mean,60,0.0607,0.645,False,-0.0407,0.7573,False,-0.0352,0.7373,False
burger,jargon_count,leesbaarheid_mean,60,-0.1541,0.2396,False,-0.2277,0.0802,False,-0.1799,0.0818,False
burger,jargon_density,duidelijkheid_mean,60,-0.0401,0.7611,False,-0.087,0.5088,False,-0.0634,0.5015,False
burger,jargon_density,actionability_mean,60,0.0901,0.4935,False,0.0155,0.9064,False,0.027,0.7781,False
burger,jargon_density,leesbaarheid_mean,60,-0.0925,0.4822,False,-0.1529,0.2434,False,-0.1218,0.1963,False
jurist,char_count,juridische_correctheid_mean,60,-0.0518,0.6944,False,-0.1026,0.4352,False,-0.0831,0.3704,False
jurist,char_count,ontbrekende_informatie_mean,60,0.1185,0.3671,False,0.0867,0.5103,False,0.071,0.4867,False
jurist,word_count,juridische_correctheid_mean,60,-0.0592,0.6534,False,-0.1194,0.3635,False,-0.0881,0.3435,False
jurist,word_count,ontbrekende_informatie_mean,60,0.1278,0.3305,False,0.0964,0.4636,False,0.0777,0.4479,False
jurist,sentence_count,juridische_correctheid_mean,60,-0.1489,0.256,False,-0.2712,0.0361,True,-0.2072,0.0282,True
jurist,sentence_count,ontbrekende_informatie_mean,60,0.1307,0.3196,False,0.1879,0.1504,False,0.1565,0.1321,False
jurist,avg_sentence_len,juridische_correctheid_mean,60,0.2585,0.0461,True,0.2794,0.0306,True,0.2006,0.0309,True
jurist,avg_sentence_len,ontbrekende_informatie_mean,60,-0.1436,0.2735,False,-0.0709,0.5901,False,-0.0517,0.6129,False
jurist,jargon_count,juridische_correctheid_mean,60,0.123,0.3493,False,0.0703,0.5933,False,0.0556,0.5991,False
jurist,jargon_count,ontbrekende_informatie_mean,60,-0.029,0.8261,False,0.0632,0.6317,False,0.0552,0.6361,False
jurist,jargon_density,juridische_correctheid_mean,60,0.1079,0.4118,False,0.1115,0.3963,False,0.0831,0.3894,False
jurist,jargon_density,ontbrekende_informatie_mean,60,0.0548,0.6772,False,0.0552,0.6753,False,0.0434,0.6831,False
